SaleID,Date,Branch,Category,Product,Quantity,UnitPrice,TotalSales,PaymentMethod
52359,1/7/2026, Kisumu ,Groceries,Run,1,1000,1000,cash
51951,5/13/2025,,groceries,Suggest,5,1000,5000,Card
52341,1/14/2025,,Groceries,Away,50,1000,50000,Card
53023,1/18/2026,nakuru,groceries,Management,1,2000,2000,Cash
51252,8/12/2024, Kisumu ,Personal Care,Young,2,,,Cash
50219,5/26/2025,Mombasa,groceries,Really,,10000,,cash
50316,5/18/2025,nakuru,groceries,Book,1,2000,2000,M-Pesa
53769,18-04-1975,,Groceries,Part,50,250,12500,cash
53460,2/3/2025,nakuru,Beverages,What,10,50,500,cash
53468,22-03-1998,Nairobi,groceries,Set,10,100,1000,Cash
50440,9/10/2013,,Personal Care,Gas,2,2000,4000,cash
53274,13-10-1983,,groceries,Way,20,250,5000,M-Pesa
52841,4/26/2026,Mombasa,Personal Care,Grow,20,2000,40000,Cash
50142,12/15/2024,Mombasa,Snacks,Eight,20,10000,200000,M-Pesa
50470,15-05-1987,nakuru,Personal Care,Sign,1,,,Cash
53487,26-11-1982,nakuru,Personal Care,Wrong,50,50,2500,cash
51985,7/31/2024,Nairobi,groceries,Work,2,100,200,cash
50692,2/27/2025,,Groceries,Live,20,10000,200000,cash
51140,4/22/2026,,Personal Care,Station,1,500,500,M-Pesa
50047,18-01-2003,Nairobi,Personal Care,Set,,250,,M-Pesa
50460,3/6/1993,,Beverages,Fine,1,500,500,M-Pesa
50998,11/19/2025,,Household,Executive,2,250,500,Card
52780,5/6/2026, Kisumu ,Personal Care,Day,50,50,2500,M-Pesa
50283,26-11-1987, Kisumu ,Beverages,Value,,,,Cash
50920,25-03-2025,Mombasa,Beverages,Particularly,50,500,25000,Card
50709,10/13/2025,Nairobi,Household,Break,5,10000,50000,Cash
51262,5/16/2026,,Snacks,Its,,1000,,M-Pesa
50782,29-03-2018,Nairobi,Groceries,History,20,500,10000,Cash
51790,3/14/2026, Kisumu ,Snacks,Then,5,500,2500,cash
53995,16-10-2005, Kisumu ,Personal Care,Describe,1,1000,1000,cash
51534,28-04-2024,Nairobi,Personal Care,Example,2,,,cash
50332,9/2/2025,,Groceries,Great,5,,,Cash
53315,30-07-2020,nakuru,Beverages,Leader,,100,,Cash
52311,11/4/1993,Mombasa,groceries,Front,,,,Card
53328,27-09-2022,nakuru,Snacks,Wrong,,100,,Cash
51135,8/3/2024,,Groceries,Among,,500,,Card
52493,1/4/2002,Mombasa,Groceries,Low,5,10000,50000,cash
53915,20-09-1978, Kisumu ,Household,Notice,,500,,cash
52182,24-04-1974, Kisumu ,Personal Care,Until,1,2000,2000,Cash
52236,3/8/1971,,groceries,Help,5,10000,50000,Card
53086,30-07-2020,Mombasa,Snacks,Style,1,500,500,M-Pesa
52102,2/7/2025,,Beverages,Whether,50,100,5000,Card
53157,19-10-2000,,groceries,Foreign,1,,,Cash
50254,10/15/2025,nakuru,Snacks,Allow,50,10000,500000,Cash
52518,9/19/2025,Mombasa,Beverages,Piece,5,10000,50000,Card
50675,11/29/2024,Mombasa,groceries,Action,50,,,M-Pesa
52159,2/12/2025,Mombasa,Snacks,Right,20,,,Cash
52645,4/20/2025,,Household,Middle,20,100,2000,M-Pesa
51688,3/1/2026, Kisumu ,Snacks,Field,20,100,2000,cash
51655,9/4/2010,Mombasa,groceries,Response,1,2000,2000,M-Pesa
50364,23-01-2003,Nairobi,Snacks,Former,50,,,M-Pesa
53870,20-12-1978,Nairobi,Snacks,East,10,100,1000,cash
50270,4/23/2025,nakuru,Household,Risk,5,250,1250,Card
